status,practice_name,city,state,specialty,providers_estimate,owner_or_pm_name,title,email,phone,website,source,first_outreach_date,channel,reply_received,call_booked,call_date,outcome,notes
📧 SENT,Body in Motion PT,Avon + Bloomfield,CT,Physical therapy,5-10,Nicole Turnbow,Founder/Owner,hello@bodyinmotionpt.com,860-364-3001,https://bodyinmotionpt.com,research 2026-06-01,2026-06-01,email,,,,,Boutique practice 2 locations. Founder-led.
📧 SENT,Hat City Physical Therapy,Danbury,CT,Physical therapy,5-10,Eric Schmitt,DPT Owner,Hatcitypt@outlook.com,(203) 748-4278,https://hatcityphysicaltherapy.com,research 2026-06-01,2026-06-01,email,,,,,Privately-owned orthopedic focus. Danbury's only privately-owned PT clinic per website.
📧 SENT,Zielinski Physical Therapy,Monroe,CT,Physical therapy,5-10,Peter Zielinski,Owner,peterzielinskiphysicaltherapy@gmail.com,(203) 445-9843,https://zielinskiphysicaltherapy.com,research 2026-06-01,2026-06-01,email,,,,,25 years in practice. Manual therapy focus.
📧 SENT,WCT Behavioral Health,8 CT locations,CT,Behavioral health (therapy + medication),20+,,,info@wctbehavioral.com,203-518-8218,https://wctbehavioral.com,research 2026-06-01,2026-06-01,email,,,,,Multi-site behavioral health. Therapy + medication management + primary care.
📧 SENT,Connecticut Behavioral Health,Cheshire + Milford,CT,Behavioral health (child/adolescent),5-10,,,ctbehavioralhealth@gmail.com,(203) 271-1430,https://ctbehavioralhealth.com,research 2026-06-01,2026-06-01,email,,,,,2 locations. Autism/ABA services evaluation school consultation.
📧 SENT,Beyond Words Psychological Services,Connecticut,CT,Behavioral health (psychology),1-5,Amanda Baden,PhD,amandabaden@gmail.com,,,research 2026-06-01,2026-06-01,email,,,,,Individual practitioner (PhD).
📧 SENT,Credeur Counseling,Connecticut,CT,Behavioral health (therapy),1-5,Maggie Credeur,LCSW,mcredeurlcsw@gmail.com,,,research 2026-06-01,2026-06-01,email,,,,,Individual practitioner (LCSW).
📧 SENT,Big Leaps PT/OT,Stamford,CT,Pediatric PT+OT+speech,3-5,Sneha Gosalia & Danielle McKay,Co-founders,info@bigleapsct.com,(203) 504-2408,https://www.bigleapsct.com,research 2026-06-02,2026-06-02,email,,,,,Boutique pediatric multidisciplinary practice. Owner-founded by a PT and an OT.
📧 SENT,CareVille Psychiatry PLLC,Fairfield,CT,Behavioral health (psychiatry),1-3,Ivie Okunbor,PMHNP-BC Founder,info@carevillepsychiatry.com,347-833-9965,https://www.carevillepsychiatry.com,research 2026-06-02,2026-06-02,email,,,,,Solo PMHNP-led psych practice. Telehealth + in-person.
📧 SENT,Complete Pediatrics PC,North Haven,CT,Pediatrics,5-10,,,info@completepediatrics.net,(203) 248-8888,https://www.completepediatrics.net,research 2026-06-02,2026-06-02,email,,,,,70+ years independent. Privately owned. Yale-area.
📧 SENT,Connecticut Foot Specialists,Farmington,CT,Podiatry,1-3,B. Wagner DPM,Owner,bkwagnerdpm@yahoo.com,860-470-5703,https://www.ctfootexpert.com,research 2026-06-02,2026-06-02,email,,,,,Solo podiatry practice (diabetic foot care + orthotics).
📧 SENT,Fairfield Dermatology,Fairfield,CT,Dermatology,5-10,Ivan S. Cohen MD,,info@fairfieldderm.com,203.259.7709,https://www.fairfieldderm.com,research 2026-06-02,2026-06-02,email,,,,,5 board-certified derms + APRNs + PA. Independent.
📧 SENT,OculusDocs LLC,Glastonbury,CT,Optometry,1-3,Jenny Cha OD,Owner,gbury@oculusdocs.com,860-838-3838,https://oculusdocs.com,research 2026-06-02,2026-06-02,email,,,,,Owner-operated independent optometry.
📧 SENT,Southern Connecticut Chiropractic,Derby,CT,Chiropractic,2-4,Scott Rocchio DC,Owner,drscott@southernctchiro.com,203-736-1762,https://www.southernctchiro.com,research 2026-06-02,2026-06-02,email,,,,,Owner-operated independent chiro.
📧 SENT,Integrated Physical Therapy & Counseling,Hartford,CT,PT + counseling,1-3,DJ Horn,Owner,integratedpt@sbcglobal.net,860-241-1144,https://www.integratedlifetherapy.com,research 2026-06-02,2026-06-02,email,,,,,30+ years. PT + craniosacral + massage + psychotherapy. Solo owner.
📧 SENT,CT Ear Nose & Throat Associates,multi-CT (Wethersfield+),CT,ENT,10+,,,info@ctent.net,860-493-1950,https://ctentonline.com,research 2026-06-02,2026-06-02,email,,,,,7 locations ~10 physicians. Borderline large for ICP.
📧 SENT,Neurological Specialists PC,Trumbull/Fairfield,CT,Neurology,5-10,,,APPTDESK@neurologyct.com,203-377-5988,https://neurologyct.com,research 2026-06-02,2026-06-02,email,,,,,Privately owned since 1963. Yale-affiliated.
📧 SENT,Consulting Ophthalmologists PC,Farmington + Glastonbury,CT,Ophthalmology,5-10,David A. Hill MD,Co-founder,info@consultingeye.com,(860) 678-0202,https://www.consultingeye.com,research 2026-06-02,2026-06-02,email,,,,,Founded 1977 by 3 docs. Independent.
📧 SENT,CT Asthma and Allergy Center,5 CT locations,CT,Allergy/Immunology,10+,,,info@ctallergy.net,860-232-9911,https://www.ctallergy.net,research 2026-06-02,2026-06-02,email,,,,,Email best-guess (info@ pattern); confirm before follow-up. 5 locations across West Hartford / Simsbury / Hamden / Middletown / Manchester.
📧 SENT,Pediatrics Plus,North Haven,CT,Pediatrics,1-3,,,info@pediatricsplus.net,(203) 239-4627,https://pediatricsplus.net,research 2026-06-02,2026-06-02,email,,,,,Email best-guess (info@ pattern); confirm before follow-up. Independent pediatric practice.
📧 SENT,Canterbury Pediatrics,Monroe,CT,Pediatrics,3-5,Marilyn Smith MD,,info@canterburypediatrics.com,(203) 452-1063,https://www.canterburypediatrics.com,research 2026-06-02,2026-06-02,email,,,,,Email best-guess (info@ pattern); confirm before follow-up. Tsalapatanis retiring 2026-08-28.
📧 SENT,Kirwan Plastic Surgery,Norwalk,CT,Plastic surgery,1-3,Laurence Kirwan MD FRCS FACS,Owner,info@drkirwan.com,(475) 250-1581,https://www.drkirwan.com,research 2026-06-02,2026-06-02,email,,,,,Solo board-certified plastic surgeon.
📧 SENT,Dermatology and Skin Health,multi-NH + Peabody MA,MA/NH,Dermatology,10-20,Gary Mendese MD,Owner,info@dermskinhealth.com,1-862-227-1054,https://dermskinhealth.com,research 2026-06-02,2026-06-02,email,,,,,7 locations across NH + MA. Out-of-state lead.
📧 SENT,Massachusetts Dermatology Associates,Beverly,MA,Dermatology,3-5,Deborah & Jordan Cummins MD,Founders,info@maderm.org,978-225-3376,https://madermatology.com,research 2026-06-02,2026-06-02,email,,,,,Founded by two derms (couple). Out-of-state.
📧 SENT,B.E.S.T. Physical Therapy,Middlesex + South Plainfield,NJ,Physical therapy,3-5,,,info@bestptnj.com,(732) 968-4422,https://bestptnj.com,research 2026-06-02,2026-06-02,email,,,,,PT-owned per site. Out-of-state lead.
📧 SENT,Individual Physical Therapy,Long Hill + Westfield + Scotch Plains + Red Bank,NJ,Physical therapy,5-10,Jay & Kate Neiswinter DPT,Owners,info@individualpt.com,(908) 989-3252,https://individualpt.com,research 2026-06-02,2026-06-02,email,,,,,Boutique multi-location PT including pelvic health. Husband-wife owners.
📧 SENT,Elite Physical Therapy,Newark + Bloomfield,NJ,Physical therapy,3-5,Dr. Masoud,,info@eliteptnj.com,(973) 732-5959,https://eliteptnj.com,research 2026-06-02,2026-06-02,email,,,,,Independently owned family-oriented.
📧 SENT,Infinity Dermatology,NYC,NY,Dermatology,20+,Jeffrey Weinberg MD,Founder,help.infinityderm@gmail.com,(646) 461-4274,https://infinitydermatology.com,research 2026-06-02,2026-06-02,email,,,,,Large (23 locations across NYC boroughs). Larger end of ICP.
📧 SENT,Boston Physical Therapy & Wellness,7 MA locations,MA,Physical therapy,15-30,David J. Koehn MPT ATC,President/Owner,davidk@bostonptwellness.com,(781) 874-9294,https://bostonptwellness.com,research 2026-06-02,2026-06-02,email,,,,,7 locations. Owner-operated. Upper end of ICP size.
❌ OON,The Method PT,Boston (South End + Charlestown + Dorchester + Chestnut Hill),MA,Physical therapy,5-10,Jaxie Meth DPT,Owner,hello@themethodpt.com,(617) 466-9995,https://themethodpt.com,research 2026-06-02,2026-06-02,email,2026-06-02,,,OON - not a fit,Replied 2026-06-02: out-of-network. Cash-based / superbill model — no in-network denial workflow.
📧 SENT,ActiveCare Physical Therapy,Midtown NYC,NY,Physical therapy,1-3,Karena Wu DPT OCS,Owner,staff@bestptnyc.com,(212) 777-4374,https://bestphysicaltherapistnyc.com,research 2026-06-02,2026-06-02,email,,,,,Solo owner DPT — also has Mumbai sister site.
📧 SENT,Boston Health & Wellness,Stoneham + Wakefield,MA,PT (pelvic floor + ortho),3-5,Stefanie DePaul DPT,Owner/Founder,stoneham@bostonhealthwellness.com,(617) 843-5320,https://bostonhealthwellness.com,research 2026-06-02,2026-06-02,email,,,,,Pelvic floor + ortho specialty. Owner-founded.
📧 SENT,Perfect Stride PT,Union Square NYC,NY,Physical therapy,5-10,Vikash Sharma DPT OCS,,info@perfectstridept.com,(917) 494-4284,https://perfectstridept.com,research 2026-06-02,2026-06-02,email,,,,,Boutique PT. PT-owned per their site.
📧 SENT,Integrative Physical Therapy of NYC,Midtown Manhattan,NY,Physical therapy,1-3,,,info@integrativeptnyc.com,(212) 953-6040,https://integrativeptnyc.com,research 2026-06-02,2026-06-02,email,,,,,Single location boutique PT.
📧 SENT,Physical Therapists NYC,Lower Manhattan,NY,Physical therapy,1-3,,,info@physicaltherapistsnyc.com,,https://physicaltherapistsnyc.com,research 2026-06-02,2026-06-02,email,,,,,Single location boutique PT.
📧 SENT,Outreach Physical Occupational & Speech Rehab,Midtown NYC,NY,Multidisciplinary rehab,3-5,,,intake@outreach-rehab.com,212-842-0080,,research 2026-06-02,2026-06-02,email,,,,,PT + OT + speech multidisciplinary rehab.
📧 SENT,Integrative Dermatology NYC,Soho,NY,Dermatology,1-3,Natalie Moulton-Levy MD,Founder,derm@IntegrativeDermNYC.com,,https://integrativedermnyc.com,research 2026-06-02,2026-06-02,email,,,,,Solo founder dermatologist in Soho.
📧 SENT,Curran Physical Therapy,Havertown,PA,Physical therapy (manual),1-3,Jamie Curran MPT,Owner,jcurran@curranphysicaltherapy.com,(484) 645-6451,https://www.havertownpt.com,research 2026-06-02,2026-06-02,email,,,,,Therapist-owned solo practice est. 2012. Manual therapy focus.
📧 SENT,Uncommon Physical Therapy,Charlotte,NC,Physical therapy (orthopedic),4-5,Davis Bradley,Owner,Info@UncommonPhysicalTherapy.com,(704) 803-8038,https://uncommonphysicaltherapy.com,research 2026-06-02,2026-06-02,email,,,,,Owner + 3 DPTs. Independent orthopedic PT.
📧 SENT,Integrated Physical Therapy of Colorado,Littleton,CO,Physical therapy (ortho+pelvic+TMJ),4-5,Patty Bomarito DPT,,FrontDesk@IPTLittleton.com,303-904-8133,https://iptcolorado.com,research 2026-06-02,2026-06-02,email,,,,,PT-owned. Specialties: ortho / pelvic floor / TMJ / dry needling.
📧 SENT,Farmington Valley Counseling Center,Avon + Farmington,CT,Behavioral health (counseling),5-10,Marla Dakin LCSW,Founder/Clinical Director,info@fvcounseling.com,(860) 255-4017,https://fvcounseling.com,research 2026-06-02,2026-06-02,email,,,,,Founder-led. 2 CT locations.
📧 SENT,Philadelphia Center for Dermatology,Jenkintown,PA,Dermatology,1-3,,,info@philaderm.com,267-538-5045,https://www.philaderm.com,research 2026-06-02,2026-06-02,email,,,,,Independent. Also has billing@ and feedback@ aliases.
📧 SENT,SpeechRise Inc,NYC + Hamptons,NY,Pediatric speech/language/feeding,3-5,Nicole Dobranski,Founder SLP,nicole@speechrise.com,516-650-3252,https://www.speechrise.com,research 2026-06-02,2026-06-02,email,,,,,Home-based pediatric SLP. Founder-led.
📧 SENT,Speech in The City,NYC,NY,Pediatric speech/feeding,5-10,Rebecca Taskin,Founder/Director,rebecca@speechinthecity.com,,https://speechinthecity.com,research 2026-06-02,2026-06-02,email,,,,,Multi-clinician practice launched 2019.
📧 SENT,Pediatric Occupational Therapy Services (POTS),Teaneck + Waldwick,NJ,Pediatric OT,5-10,Chaye Lamm Warburg,Founder/Director,office@potsot.com,201-837-9993,https://www.potsot.com,research 2026-06-02,2026-06-02,email,,,,,Founder-led. 2 NJ locations.
❌ OON,Pediatric Potentials,Livingston,NJ,Pediatric OT/PT,5-10,Laurie Kalb,Founder,director@pediatricpotentialsnj.com,973-535-5010,https://www.pediatricpotentialsnj.com,research 2026-06-02,2026-06-02,email,2026-06-02,,,OON - not a fit,Replied 2026-06-02: out-of-network. Cash-based / superbill model — no in-network denial workflow.
📧 SENT,Elevate Counseling Services,6 MA locations,MA,Behavioral health (counseling),10-20,,,intake@elevate-counseling.com,508-297-1491,https://www.elevate-counseling.com,research 2026-06-02,2026-06-02,email,,,,,6 MA locations: Easton / Franklin / Raynham / Hopkinton / Lakeville / Seekonk.
📧 SENT,IRG Physical Therapy,Seattle,WA,Physical therapy,3-5,,,info@irgpt.com,,,research 2026-06-02,2026-06-02,email,,,,,At Washington Athletic Club.
📧 SENT,Core Physical Therapy SLU,South Lake Union Seattle,WA,Physical therapy,3-5,,,scheduling@seattlephysicaltherapy.com,,https://seattlephysicaltherapy.com,research 2026-06-02,2026-06-02,email,,,,,South Lake Union clinic.
📧 SENT,Vermont Gastroenterology,Colchester,VT,Gastroenterology,5,Cory Halliburton MD / Alan Landau MD / David Schwartz MD / Jacek Mysior MD,,info@vtgastro.com,802.864.7483,https://vtgastro.com,research 2026-06-02,2026-06-02,email,,,,,Physician-owned independent. 5 providers.
📧 SENT,Forward Physical Therapy,Brooklyn,NY,Physical therapy,5-10,,,Info@Forwardptny.com,(718) 336-4900,https://www.forwardptny.com,research 2026-06-02,2026-06-02,email,,,,,Brooklyn PT since 2011. Operating as part of Ahava Medical Center.
📧 SENT,Flora Physical Therapy,Durham,NC,Physical therapy (cash-based),1-3,Dr. Brook Orvis,Owner,info@floraphysicaltherapy.com,(919) 695-7828,https://www.floraphysicaltherapy.com,research 2026-06-02,2026-06-02,email,,,,,Woman-owned cash-based / hybrid PT.
📧 SENT,Cloudlake Dermatology,Jericho + Farmingdale,NY,Dermatology,2-4,Sarika Banker MD & Vishal Saggar MD,Co-owners,hello@cloudlake.org,516-992-6350,https://cloudlakedermatology.com,research 2026-06-02,2026-06-02,email,,,,,2 Long Island locations. Board-certified dermatologists.
📧 SENT,CT Primary Care and Wellness,Middlebury,CT,Primary care,1-3,,,ctprimarycareandwellness@gmail.com,(203) 527-6953,https://ctprimarycareandwellness.com,research 2026-06-02,2026-06-02,email,,,,,Small CT primary care practice.
📧 SENT,The Pelvic Practice,Thousand Oaks,CA,Pelvic floor PT,1-3,,,info@thepelvicpractice.com,805-368-2872,https://www.thepelvicpractice.com,research 2026-06-02,2026-06-02,email,,,,,Pelvic floor PT (Katie + Carly named in testimonials).
📧 SENT,Anchor Therapy LLC,Hoboken,NJ,Behavioral health (counseling),1-5,Courtney Glashow LCSW,Founder,info@anchortherapy.org,(201) 565-2275,https://www.anchortherapy.org,research 2026-06-02,2026-06-02,email,,,,,Founder-led. Serves NJ + NY + FL via telehealth.
📧 SENT,Hudson Psychiatric Associates,Hoboken + Paramus + Denville + Middletown,NJ,Behavioral health (psychiatry),10+,,,frontdesk@hudsonpsych.com,201-222-8808,https://hudsonpsych.com,research 2026-06-02,2026-06-02,email,,,,,Founded 2006 by 3 Manhattan-trained psychiatrists. Multi-NJ.
📧 SENT,Online Psychiatrists,Princeton NJ + Manhattan NY + Miami FL,NJ/NY/FL,Behavioral health (psychiatry),3-5,Zlatin Ivanov MD,Founder,info@onlinepsychiatrists.com,(609) 722-3000,https://www.onlinepsychiatrists.com,research 2026-06-02,2026-06-02,email,,,,,Founder-led psychiatrist with 3 multi-state locations.
📧 SENT,Lukin Center for Psychotherapy,multi-NJ,NJ,Behavioral health (psychotherapy),10+,,,info@lukincenter.com,,https://www.lukincenter.com,research 2026-06-02,2026-06-02,email,,,,,Multi-location NJ psychotherapy group.
📧 SENT,Steele Dermatology,Atlanta + Alpharetta,GA,Dermatology,3-5,,,info@steeledermatology.com,(770) 464-6000,https://www.atlantadermatologists.com,research 2026-06-02,2026-06-02,email,,,,,2 GA locations.
📧 SENT,Babcock Dermatology,Atlanta,GA,Dermatology + Mohs,1-3,Melissa Babcock MD FAAD,Owner / Mohs surgeon,email@babcockdermatology.com,(404) 835-3052,https://babcockdermatology.com,research 2026-06-02,2026-06-02,email,,,,,Solo Mohs surgeon. Buckhead Atlanta.
📧 SENT,Medical Dermatology Specialists,Atlanta,GA,Dermatology,3-5,,,jstalls@atlmedderm.com,(404) 939-9220,https://www.atlantamedicaldermatology.com,research 2026-06-02,2026-06-02,email,,,,,Multi-Atlanta-metro dermatology (Brookhaven / Dunwoody / Marietta / Roswell / Sandy Springs).
📧 SENT,Dermatology Associates of Atlanta,Atlanta,GA,Dermatology,5-10,,,frontdeskdaa@dermatlanta.com,(404) 256-4457,https://dermatlanta.com,research 2026-06-02,2026-06-02,email,,,,,Atlanta dermatology group practice.
📧 SENT,Pittsburgh Performance Physical Therapy,Pittsburgh,PA,Physical therapy,1-3,Carly Thompson DPT,Practice Leader,frontdesk@ptpittsburgh.com,(412) 924-8424,https://ptpittsburgh.com,research 2026-06-02,2026-06-02,email,,,,,Owner-led PT. Penn Hills area.
📧 SENT,Alliance Physical Therapy,Ross Township Pittsburgh,PA,Physical therapy,3-5,,,info.rosstownship@alliancephysicaltherapy.com,,https://www.alliancephysicaltherapy.com,research 2026-06-02,2026-06-02,email,,,,,Therapist-owned. Pittsburgh-area location.
📧 SENT,West Side Comprehensive Chiropractic,Manhattan NYC,NY,Chiropractic,1-3,Dr. Watins,Owner,frontdesk@drwatins.com,(212) 765-6470,https://www.drwatins.com,research 2026-06-02,2026-06-02,email,,,,,Columbus Circle area NYC chiropractic.
📧 SENT,Flatbush Eye Care,Brooklyn,NY,Optometry,1-3,,,flatbushstaff@eyepiceyecare.com,(718) 223-5707,https://eyepiceyecare.com,research 2026-06-02,2026-06-02,email,,,,,Brooklyn optometry; part of Eyepic Eye Care.
📧 SENT,Atlanta PT,Atlanta,GA,Physical therapy,3-5,Tony Fox DPT,Owner,tony@atlantapt.com,770-989-1405,https://atlantapt.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led PT clinic.
📧 SENT,Therapy Austin,Austin,TX,Behavioral health (counseling),10+,,,info@therapyaustin.com,737-201-8797,https://therapyaustin.com,research 2026-06-04,2026-06-04,email,,,,,Multi-clinician practice with 4 Austin locations.
📧 SENT,Druid Hills Physical Therapy,Atlanta,GA,Physical therapy,5-10,,,info@druidhillspt.com,(470) 427-3840,https://druidhillspt.com,research 2026-06-04,2026-06-04,email,,,,,7 DPTs across 2 Atlanta-area locations.
📧 SENT,Fort Worth Therapy Associates,Fort Worth,TX,Behavioral health (counseling),5-10,,,reception@DTAcare.com,(972) 445-9560,https://www.fwtacare.com,research 2026-06-04,2026-06-04,email,,,,,Multi-specialty therapy group near TCU.
📧 SENT,Small Talk Speech Therapy,West Hartford,CT,Pediatric speech,3-5,Katie Eddins,Co-founder/Clinical Director,hi@smalltalkct.com,860-385-4327,https://www.smalltalkct.com,research 2026-06-04,2026-06-04,email,,,,,Co-founder-led pediatric speech.
📧 SENT,My New Jersey Dentist,Hackensack,NJ,Dental,3-5,,,info@mynjdentist.com,(201) 298-8000,https://mynjdentist.com,research 2026-06-04,2026-06-04,email,,,,,General + orthodontics + cosmetic.
📧 SENT,Tate Psychotherapy,Manhattan NYC,NY,Psychotherapy,1-3,,,admin@tatepsychotherapy.com,,https://tatepsychotherapy.com,research 2026-06-04,2026-06-04,email,,,,,Manhattan psychotherapy + workshops + supervision.
📧 SENT,The Way You Say LLC,New Jersey,NJ,Pediatric speech/language,1-3,,,info@thewayyousayllc.com,(201) 525-8926,https://thewayyousayllc.com,research 2026-06-04,2026-06-04,email,,,,,Pediatric speech/language services.
📧 SENT,Vitality Acupuncture,Brooklyn,NY,Acupuncture,1-3,Armie Mariano,Owner,info@vitalityac.com,,https://vitalityac.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led acupuncture + herbal medicine.
📧 SENT,Acupuncture and Integrative Medicine NYC,Manhattan NYC,NY,Acupuncture/Integrative,1-3,Viktor Krystufek DACM,Owner,Vik@acudoctor.nyc,,https://acudoctor.nyc,research 2026-06-04,2026-06-04,email,,,,,Owner-led integrative medicine + acupuncture.
📧 SENT,Integrative Healing Arts,Manhattan NYC,NY,Acupuncture/Holistic,1-3,,,tmoy@integrativehealingarts.com,,https://www.integrativehealingarts.com,research 2026-06-04,2026-06-04,email,,,,,Union Square acupuncture + holistic.
📧 SENT,NYC Acupuncture + Wellness,Chelsea NYC,NY,Acupuncture,1-3,,,Hello@NYCacuwell.com,,https://www.nycacupuncturewellness.com,research 2026-06-04,2026-06-04,email,,,,,Chelsea acupuncture practice.
📧 SENT,Araya Chiropractic Wellness Center,West Hartford,CT,Chiropractic,1-3,Rick Araya DC,Owner,info.arayachiro@gmail.com,,http://healthyhartford.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led chiropractic + wellness.
📧 SENT,Premier Medical Pain Management,The Villages,FL,Pain management,3-5,,,info@pmacare.com,(352) 259-2159,https://www.pmacare.com,research 2026-06-04,2026-06-04,email,,,,,Interventional pain mgmt FL.
📧 SENT,NJ Steps,West Caldwell,NJ,Pediatric speech,1-3,Shery Seewald,Owner,shery@njsteps.com,(973) 244-2448,https://www.njsteps.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led pediatric speech-language.
📧 SENT,One-on-One Speech Therapy,Raritan,NJ,Pediatric speech,1-3,Farwa Husain SLP,Owner,farwa@oneononespeechtherapy.com,732-301-4909,https://www.oneononespeechtherapy.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led neurodiversity-affirming peds speech.
📧 SENT,Treiber Dermatology Associates,Rye,NY,Dermatology,5-10,Ruth Treiber MD,Owner/Founder,info@treiberderm.com,914-967-2153,https://treiberderm.com,research 2026-06-04,2026-06-04,email,,,,,Founder-led 6-derm Westchester practice.
📧 SENT,Lamm Dermatology,Manhattan + Long Island,NY,Dermatology,1-3,Joel Lamm MD,Owner,info@lammdermatology.com,646-571-0838,https://lammdermatology.com,research 2026-06-04,2026-06-04,email,,,,,Manhattan + Hicksville LI locations.
📧 SENT,Princeton Speech-Language & Learning Center,Princeton + Madison,NJ,Pediatric speech,3-5,,,info@psllcnj.com,(609) 924-7080,https://www.psllcnj.com,research 2026-06-04,2026-06-04,email,,,,,Pediatric speech + OT + child psychology + ed.
📧 SENT,Brooklyn Chiropractic Partners,Brooklyn,NY,Chiropractic,3-5,,,info@brooklynchiropracticpartners.com,(718) 680-2222,https://www.brooklynchiropracticpartners.com,research 2026-06-04,2026-06-04,email,,,,,Brooklyn since 1979.
📧 SENT,London Terrace Psychiatry,Manhattan NYC,NY,Psychiatry,3-5,Michael Colin MD,Founder,info@LondonTerracePsychiatry.com,,https://www.londonterracepsychiatry.com,research 2026-06-04,2026-06-04,email,,,,,Manhattan psychiatry group.
📧 SENT,Phoenix Physical Therapy Tenleytown,Washington,DC,Physical therapy,3-5,,,tenleytown@phx-pt.com,,https://phoenixphysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,Tenleytown PT (occupational health too).
🎯 HOT LEAD,Main Street Physical Therapy,Long Island,NY,Physical therapy,3-5,Venkatesan Sivaraman,Owner,contact@mainstreetpt.com,(516) 673-4161,https://mainstreetpt.com,research 2026-06-04,2026-06-04,email,2026-06-04,yes,,Wants in-person meeting to discuss and try Overturn,Multi-location LI PT (Queens + LI).
📧 SENT,Brooklyn Chiropractic Studio,Brooklyn,NY,Chiropractic,1-3,,,brooklynchiropracticstudio@gmail.com,347-746-1560,https://brooklynchiropracticstudio.com,research 2026-06-04,2026-06-04,email,,,,,Williamsburg chiropractic.
📧 SENT,Dyker Heights Family Chiropractor,Brooklyn,NY,Chiropractic,1-3,,,drjoechiro1@verizon.net,(718) 837-0048,https://www.dykerheightsfamilychiropractor.com,research 2026-06-04,2026-06-04,email,,,,,Brooklyn family chiropractic.
📧 SENT,Jefferson Dental Associates,Philadelphia,PA,Dental,3-5,,,Frontdesk@jeffdent.net,215-955-6666,http://www.jeffdent.net,research 2026-06-04,2026-06-04,email,,,,,Center City Philly dental.
📧 SENT,Advanced Allergy & Asthma Care,Tampa,FL,Allergy/Immunology,3-5,,,asthma@advallergy8100.com,,https://www.allergydoc.us,research 2026-06-04,2026-06-04,email,,,,,Multi-Tampa-area allergy/asthma.
